ID,Title,Description,Priority,Verify,Status,
FR-SPAWN-001,7-bag randomizer,Spawn order uses a 7-bag randomizer so each piece appears once per bag (no dup/starve),must,llm-judge,satisfied,no dup - no duplication (needed other statement)
FR-SPAWN-002,Next preview matches spawn,The Next preview piece matches the actual next spawned piece,must,llm-judge,satisfied,
FR-SPAWN-003,Hold swap once per piece,Hold swaps active and held piece at most once per piece until it locks,should,llm-judge,satisfied,not understandable
FR-MOVE-001,Horizontal move by one column,Left/Right moves the piece exactly one column if target cells are empty and in bounds,must,llm-judge,satisfied,
FR-MOVE-002,Blocked horizontal move rejected,A move crossing the boundary or overlapping a locked cell is rejected; piece unchanged,must,llm-judge,satisfied,
FR-MOVE-003,Automatic gravity descent,Active piece descends one cell automatically every gravity tick while running,must,llm-judge,satisfied,
FR-MOVE-004,Soft drop accelerates descent,Holding Soft Drop makes the piece descend faster than normal gravity,must,llm-judge,partially,"Only mupltiple bottom arrow clicks words as soft drop, no touch and wait activity. Needed 2 atoms - one long hold activates soft drop and multiple clicks also"
FR-MOVE-005,Hard drop locks instantly,Hard Drop instantly moves the piece to its landing position and locks it,must,llm-judge,satisfied,
FR-ROT-001,Rotate 90 about pivot,Rotation turns the piece 90 degrees in the requested direction about its pivot,must,llm-judge,partially,"figures rotate counter clock wise, not clock wise"
FR-ROT-002,SRS wall kicks,On collision rotation applies the first valid SRS kick-table offset that fits,should,llm-judge,satisfied,not understandable
FR-ROT-003,Impossible rotation rejected,If rotation collides and no valid kick exists the rotation is rejected; piece unchanged,must,llm-judge,satisfied,
FR-COL-001,Collision integrity invariant,No active-piece cell ever overlaps an occupied cell or exits left/right/bottom bounds,must,llm-judge,satisfied,
FR-LOCK-001,Lock on landing and spawn next,When the piece can no longer move down it locks into the board and a new piece spawns,must,llm-judge,satisfied,
FR-LOCK-002,Bounded lock delay,Movement/rotation allowed during a bounded ~500 ms lock delay without indefinite stalling,should,llm-judge,not satisfied,"when the piece landed, it can be rotated forever"
FR-GHOST-001,Ghost piece matches landing,Ghost piece marks the exact cells where a hard drop would land the active piece,should,llm-judge,satisfied,
FR-CLEAR-001,Single line clear,Locking with exactly one full row removes it and shifts rows above down by one,must,llm-judge,satisfied,
FR-CLEAR-002,Double line clear,Locking with exactly two full rows clears both in a single step,must,llm-judge,satisfied,
FR-CLEAR-003,Triple line clear,Locking with exactly three full rows clears all three in a single step,must,llm-judge,satisfied,
FR-CLEAR-004,Tetris (quad) clear,Locking with exactly four full rows clears all four in a single step,must,llm-judge,partially,add atom - that it indexes lines before removement
FR-CLEAR-005,Non-contiguous clears preserve gaps,Only filled rows are removed and remaining blocks settle preserving partial-row gaps,must,llm-judge,satisfied,
FR-CLEAR-006,No false clear,A row containing any empty cell is never cleared,must,llm-judge,satisfied,
FR-SCORE-001,Score monotonic and non-negative,Score is monotonically non-decreasing and never negative,must,llm-judge,satisfied,
FR-SCORE-002,Line-clear scoring scale,Awards 100/300/500/800 x level for 1/2/3/4 lines cleared,must,llm-judge,satisfied,
FR-SCORE-003,Lines counter increments exactly,Lines-cleared counter increases by exactly the number of rows cleared on a lock,must,llm-judge,satisfied,
FR-SCORE-004,Soft/hard drop points,Awards 1 point per cell soft-dropped and 2 points per cell hard-dropped,should,llm-judge,partially,if the piece falls natually (no clicks on arrow) counter doesn’t increment
FR-SCORE-005,High score persists across reloads,High score persists via localStorage and is restored after a page reload,should,llm-judge,satisfied,
FR-LEVEL-001,Level increases every 10 lines,Level increments by one each time cumulative cleared lines cross the next multiple of 10,must,llm-judge,satisfied,
FR-LEVEL-002,Gravity speeds up with level,"Gravity interval is recomputed as max(50,500 / (level + 1)) ms on level up ",must,llm-judge,how to check?,
FR-OVER-001,Block-out ends game,A newly spawned piece colliding immediately sets status to gameover and stops gravity,must,llm-judge,satisfied,
FR-OVER-002,Game-over screen w/ score + restart,Game-over screen shows the final score and a Restart control,must,llm-judge,partially,there's no button
FR-OVER-003,No board mutation after game over,Gameplay input that would mutate the board is ignored in game-over state (no zombie moves),must,llm-judge,satisfied,
FR-OVER-004,No spawn after game over until restart,No new piece spawns in game-over state until the user restarts,must,llm-judge,satisfied,
FR-ARCH-001,Timer-driven game cycle,Game cycle is driven by a timer (setInterval or rAF with a time check),must,llm-judge,how to check?,non understandable which timer? How much it should check?
FR-ARCH-002,2D array field representation,Field is a 10x20 2D array with 0 empty and 1..7 identifying piece color,should,llm-judge,how to check?,How can we check it?
FR-CTRL-001,Keyboard bindings,"Bindings: arrows move/soft-drop, Space hard-drop, Up/X & Z/Ctrl rotate, C/Shift hold, Esc/P pause, R restart",must,llm-judge,satisfied,
NFR-CTRL-002,Input latency,Visible response occurs within 100 ms of a keypress under normal load,must,manual,satisfied,
FR-CTRL-003,Deterministic repeat / simultaneous keys,Key repeat has no missed/doubled inputs; simultaneous keys resolve deterministically,should,llm-judge,satisfied,
FR-CTRL-004,Touch controls reachable,Touch devices expose on-screen controls for all must-have actions with 44x44 px targets,should,manual,how to check?,
FR-CTRL-005,Suppress browser default gestures,Arrows/Space do not scroll the page and touch gestures do not zoom during play,must,llm-judge,satisfied,
UI-HUD-001,HUD shows/updates score/level/lines,HUD always shows score/level/lines and updates immediately when they change,must,llm-judge,satisfied,but has issues with UI
UI-HUD-002,Distinguishable piece/ghost/locked,"Active piece, ghost, and locked cells are rendered visually distinct",should,manual,satisfied,non understandable - active piece and locked ones are equel visually
UI-HUD-003,Visual feedback clears / game over,Clear visual feedback is shown for line clears and for game over,should,manual,satisfied,
UI-LAYOUT-001,Side panel content,"Side panel shows score, level, lines, Next preview, New Game/Restart, and Game Over indicator",must,llm-judge,satisfied,duplicates UI-HUD-001
UI-RESP-001,Adaptive layout without overflow,Layout adapts from 320 px to large desktop in portrait/landscape without overflow or clipping,must,manual,not satisfied,no adaptive mobile version
UI-RESP-002,Playfield aspect ratio preserved,Playfield aspect ratio is preserved and fully visible at all supported sizes,must,manual,partially,no adaptive mobile version
UI-RESP-003,No layout shift / horizontal scroll,No cumulative layout shift after load and no horizontal scrollbar during play,should,manual,satisfied,
FR-AUDIO-001,Move/rotate click,A short click sound plays when a piece moves or rotates,could,manual,partially,not always appear
FR-AUDIO-002,Landing sound,A soft landing sound plays when a piece locks,could,manual,not satisfied,no sound at landing
FR-AUDIO-003,Line-clear chime,A chime plays when one to three lines clear,could,manual,satisfied,
FR-AUDIO-004,Tetris sound,A brighter-than-normal sound plays when four lines clear at once,could,manual,satisfied,
FR-AUDIO-005,Game-over sound,A low signal sound plays when game over occurs,could,manual,satisfied,
NFR-A11Y-001,Keyboard-operable menus w/ focus,"Menu controls are keyboard-reachable, Enter/Space operable, with visible focus states",should,manual,partially,needed more explicitly describe tab functionality. Not understandable how to use tab?
NFR-A11Y-002,Color not the only signal,Critical state is distinguishable by shape/text/position (not color alone),should,manual,satisfied,
NFR-A11Y-003,WCAG AA contrast,Normal text meets at least WCAG AA 4.5:1 contrast ratio,should,manual,how to check?,
NFR-A11Y-004,Accessible names + canvas label,Interactive elements have accessible names and the canvas has a meaningful aria-label/role,should,llm-judge,satisfied,the canvas has a meaningful aria-label/role????
NFR-A11Y-005,Respect reduced motion; limit flashing,Respects prefers-reduced-motion and never flashes content more than 3 times per second,should,manual,satisfied,
NFR-PERF-001,Frame rate,Sustains at least 60 FPS desktop / 30 FPS low-end mobile with no sustained drops,must,manual,how to check?,
NFR-PERF-002,Time to interactive (throttled),Interactive within 3 s on mid-tier broadband and 5 s on throttled Fast 3G,should,manual,satisfied,2 atoms needed distinct
NFR-PERF-003,Bundle size,Initial gzipped bundle is at most 2 MB total (target 500 KB JS or less),should,manual,satisfied,
NFR-PERF-004,No memory growth,Heap stabilizes after GC over a 10-minute session with no continuous growth (no leak),should,manual,how to check?,
NFR-PERF-005,No long main-thread tasks,No main-thread task exceeds 50 ms during steady-state play,should,manual,how to check?,
NFR-COMPAT-001,Desktop browsers,Fully playable on the latest two versions of Chrome/Firefox/Safari/Edge on desktop,must,manual,satisfied,
NFR-COMPAT-002,Mobile browsers,Fully playable on the latest two versions of mobile Safari (iOS) and Chrome (Android),must,manual,not checked,
NFR-COMPAT-003,Graceful optional-API fallback,No flagged/experimental APIs; degrades gracefully when optional APIs (audio/vibration) are absent,should,llm-judge,not checked,
NFR-COMPAT-004,Static HTTPS hosting,Runs over plain HTTPS with no server-side runtime dependency (static-hosting compatible),must,llm-judge,satisfied,
NFR-COMPAT-005,HiDPI crispness,"Renders crisply at device pixel ratios of 1x, 2x, and 3x (not blurry on HiDPI)",should,manual,not checked,
FR-ERR-001,Input spam safe,Many inputs within one frame cause no crash/illegal state/double-move; invariants hold,must,llm-judge,satisfied,
FR-ERR-002,Concurrent rotate+move+drop deterministic,Simultaneous rotate/move/drop resolve deterministically without overlap or escaping bounds,must,llm-judge,satisfied,
FR-ERR-003,Hard drop into full column,Hard drop into a full/near-full column locks correctly at top (may game over) without crashing,must,llm-judge,satisfied,
FR-ERR-004,Resize / orientation mid-game,"Resize/orientation change continues the game, refits the board, preserves state, loses no input",should,manual,satisfied,
FR-ERR-005,localStorage unavailable degrades,If localStorage is unavailable/quota/private (persistence degrades gracefully and game stays playable),should,llm-judge,not checked,
FR-ERR-006,Corrupt persisted data falls back,Corrupt/invalid persisted data is validated and falls back to defaults without crashing,should,llm-judge,not checked,
FR-ERR-007,Large numbers / long session safe,"Long sessions/high scores cause no integer overflow, UI breakage, or FPS decay",could,manual,not checked,
FR-ERR-008,Graceful unhandled-error handling,Unhandled errors are caught and surfaced gracefully with no white screen or infinite error loop,must,llm-judge,not checked,
